Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Type,Category
Databricks SQL and Serverless,02/17/2026,02:00 PM,02/17/2026,03:30 PM,False,Join this workshop to get hands-on guidance for semi-structured data delivery at scale for downstream analytical consumption via Databricks SQL. We will demonstrate how to architect JSON pipelines and then show you how to explore and visualize semi-structured data with Databricks SQL. Duration: 1.5 hrs.,https://events.databricks.com/FY26-EV-AEB-Hands-on-Workshop-SQLandDelta,Virtual,SQL & Analytics
Production-Ready Agents on Databricks,02/18/2026,02:00 PM,02/18/2026,04:00 PM,False,"In this workshop, we will explore how your organization can leverage the Mosaic AI Agent Framework and Platform to bring high-quality and scalable Gen AI applications into production. We will cover Generative AI offerings on Databricks with a focus on putting systems into production. Duration: 2 hrs.",https://events.databricks.com/FY26-EV-AEB-Hands-on-Workshop-GenerativeAI,Virtual,Generative AI
"Lakeflow: Declarative Pipelines & Connect",02/19/2026,02:00 PM,02/19/2026,03:30 PM,False,"Join this workshop to get hands-on guidance using Delta Live Tables to build your next simple, scalable and production-ready pipeline. We'll demonstrate the built-in orchestration framework capabilities that allow you to build production-quality data pipelines in half the time with no janitor code. Duration: 1.5 hrs.",https://events.databricks.com/FY26-EV-AEB-Hands-on-Workshop-DeltaLiveTables,Virtual,Data Engineering
Unified Governance with Unity Catalog,02/20/2026,02:00 PM,02/20/2026,03:30 PM,False,Using Unity Catalog you'll learn how it can work with your existing data catalogs and storage solutions to build a future-proof governance model. We will demonstrate the changes that come with UC and how you can upgrade your tables to include these benefits. Duration: 1.5 hrs.,https://events.databricks.com/FY26-EV-AEB-Hands-on-Workshop-UnifiedGovernancewithUC,Virtual,Governance
Databricks Apps,02/23/2026,02:00 PM,02/23/2026,03:30 PM,False,"This workshop will guide participants through the core concepts of Databricks Apps, hands-on development with familiar frameworks, and best practices for deploying governed, production-ready applications—so your apps can run where your data and AI already live. Duration: 1.5 hrs.",https://events.databricks.com/FY26-EV-AEB-Hands-on-Workshop-DatabricksApps,Virtual,Development
End-to-End AI on Databricks,02/24/2026,02:00 PM,02/24/2026,03:30 PM,False,"Walk through an end-to-end AI agent solution on Databricks. Build AI Agents with foundation LLMs, RAG, Vector Search, and PDF extraction using Unity Catalog functions, LangChain, and Databricks' built-in ai_parse_document function. Deploy real-time Q&A chatbots, evaluate agents with Mosaic AI Agent Evaluation and MLflow 3.0, and monitor live production behavior. Presenters: Rupal Gupta (Sr. Solutions Engineer) and Bhagyarshri Badgujar (Solutions Architect). Duration: 1.5 hrs.",https://events.databricks.com/FY26-EV-AEB-Hands-on-Workshop-End-to-EndAI,Virtual,Machine Learning
Intro to Databricks,02/25/2026,02:00 PM,02/25/2026,03:30 PM,False,Intro to Databricks is designed for users who are completely new to the platform or have only minimal experience. This workshop will give you an introductory tour of the platform and show you how it can simplify and accelerate your data projects. Duration: 1.5 hrs.,https://events.databricks.com/FY26-EV-AEB-Hands-on-Workshop-IntrotoLakehouseandDelta,Virtual,Getting Started
"Lakebase: Serverless Postgres Database",02/27/2026,02:00 PM,02/27/2026,03:30 PM,False,"Lakebase is a fully managed, serverless, scalable, and resilient Postgres database that offers low-latency reads and writes, unlocking operational and transactional use cases for Databricks customers. Duration: 1.5 hrs.",https://events.databricks.com/FY26-EV-AEB-Hands-onWorkshop-DeltainProduction,Virtual,Databases
Data Intelligence on Azure,03/03/2026,10:00 AM,03/03/2026,01:00 PM,False,"Hands-on cloud lab exploring Databricks Data Intelligence on the Azure platform. Duration: 3 hrs.",https://events.databricks.com/FY27Q1-TR-AzureCloudHands-onLab?scid=701Vp00000lXVelIAG&utm_medium=SalesOutbound&utm_source=AE,Virtual,Cloud
Executive Roadmap,03/05/2026,11:00 AM,03/05/2026,12:00 PM,False,"Databricks vision, strategy and roadmap webinar for executive stakeholders. Duration: 1 hr.",https://www.databricks.com/resources/webinar/databricks-vision-strategy-and-roadmap,Virtual,Strategy
Unified Governance with Unity Catalog,03/06/2026,02:00 PM,03/06/2026,03:30 PM,False,Using Unity Catalog you'll learn how it can work with your existing data catalogs and storage solutions to build a future-proof governance model. We will demonstrate the changes that come with UC and how you can upgrade your tables to include these benefits. Duration: 1.5 hrs.,https://events.databricks.com/FY26-EV-AEB-Hands-on-Workshop-UnifiedGovernancewithUC,Virtual,Governance
End-to-End AI on Databricks,03/10/2026,02:00 PM,03/10/2026,03:30 PM,False,"Walk through an end-to-end AI agent solution on Databricks. Build AI Agents with foundation LLMs, RAG, Vector Search, and PDF extraction using Unity Catalog functions, LangChain, and Databricks' built-in ai_parse_document function. Deploy real-time Q&A chatbots, evaluate agents with Mosaic AI Agent Evaluation and MLflow 3.0, and monitor live production behavior. Presenters: Rupal Gupta (Sr. Solutions Engineer) and Bhagyarshri Badgujar (Solutions Architect). Duration: 1.5 hrs.",https://events.databricks.com/FY26-EV-AEB-Hands-on-Workshop-End-to-EndAI,Virtual,Machine Learning
Financial Services Forum,03/10/2026,09:00 AM,03/10/2026,05:00 PM,False,"Join managing directors and technology executives in financial services for insights on AI-powered transformation. Full-day industry forum.",https://events.databricks.com/fy27q1-if-finsforum-nyc/?scid=701Vp00000gkgKKIAY&utm_medium=sales_outbound&utm_source=ae,In-Person,Industry Forum
Intro to Databricks,03/11/2026,02:00 PM,03/11/2026,03:30 PM,False,Intro to Databricks is designed for users who are completely new to the platform or have only minimal experience. This workshop will give you an introductory tour of the platform and show you how it can simplify and accelerate your data projects. Duration: 1.5 hrs.,https://events.databricks.com/FY26-EV-AEB-Hands-on-Workshop-IntrotoLakehouseandDelta,Virtual,Getting Started
Databricks SQL Workshop,03/11/2026,10:00 AM,03/11/2026,01:00 PM,False,"Hands-on workshop focused on Databricks SQL capabilities and best practices. Duration: 3 hrs.",https://events.databricks.com/FY27Q1-TR-DBSQL-Workshop?scid=701Vp00000mVAtvIAG&utm_medium=SalesOutbound&utm_source=AE,Virtual,SQL & Analytics
"Lakebase: Serverless Postgres Database",03/13/2026,02:00 PM,03/13/2026,03:30 PM,False,"Lakebase is a fully managed, serverless, scalable, and resilient Postgres database that offers low-latency reads and writes, unlocking operational and transactional use cases for Databricks customers. Duration: 1.5 hrs.",https://events.databricks.com/FY26-EV-AEB-Hands-onWorkshop-DeltainProduction,Virtual,Databases
Data Engineering with Lakeflow,03/13/2026,10:00 AM,03/13/2026,01:00 PM,False,"Hands-on workshop on data engineering pipelines using Lakeflow. Duration: 3 hrs.",https://events.databricks.com/FY27Q1-TR-DataEngineering-Workshop?scid=701Vp00000mtK8vIAE&utm_medium=SalesOutbound&utm_source=AE,Virtual,Data Engineering
Databricks Apps,03/16/2026,02:00 PM,03/16/2026,03:30 PM,False,"This workshop will guide participants through the core concepts of Databricks Apps, hands-on development with familiar frameworks, and best practices for deploying governed, production-ready applications—so your apps can run where your data and AI already live. Duration: 1.5 hrs.",https://events.databricks.com/FY26-EV-AEB-Hands-on-Workshop-DatabricksApps,Virtual,Development
NVIDIA GTC,03/16/2026,09:00 AM,03/19/2026,05:00 PM,False,"Meet the Databricks team at the world's leading AI conference. Discover the latest in AI acceleration and GPU computing.",https://sites.google.com/databricks.com/databricksatnvidiagtc,In-Person,Conference
Databricks SQL and Serverless,03/17/2026,02:00 PM,03/17/2026,03:30 PM,False,Join this workshop to get hands-on guidance for semi-structured data delivery at scale for downstream analytical consumption via Databricks SQL. We will demonstrate how to architect JSON pipelines and then show you how to explore and visualize semi-structured data with Databricks SQL. Duration: 1.5 hrs.,https://events.databricks.com/FY26-EV-AEB-Hands-on-Workshop-SQLandDelta,Virtual,SQL & Analytics
Data Intelligence on AWS,03/17/2026,10:00 AM,03/17/2026,01:00 PM,False,"Hands-on cloud lab exploring Databricks Data Intelligence on the AWS platform. Duration: 3 hrs.",https://events.databricks.com/FY27Q1-TR-AWSCloudHands-onLab?scid=701Vp00000lg39kIAA&utm_medium=SalesOutbound&utm_source=AE,Virtual,Cloud
Production-Ready Agents on Databricks,03/18/2026,02:00 PM,03/18/2026,04:00 PM,False,"In this workshop, we will explore how your organization can leverage the Mosaic AI Agent Framework and Platform to bring high-quality and scalable Gen AI applications into production. We will cover Generative AI offerings on Databricks with a focus on putting systems into production. Duration: 2 hrs.",https://events.databricks.com/FY26-EV-AEB-Hands-on-Workshop-GenerativeAI,Virtual,Generative AI
Cincinnati AI Day,03/18/2026,09:00 AM,03/18/2026,05:00 PM,False,"Full-day hands-on AI workshop for practitioners. Learn to build, deploy and scale AI applications on Databricks.",https://events.databricks.com/FY27-AI-Days-Cincinnati/?utm_source=sales&utm_medium=sales&utm_campaign=701vp00000i3nbhiam,In-Person,AI Day
"Lakeflow: Declarative Pipelines & Connect",03/19/2026,02:00 PM,03/19/2026,03:30 PM,False,"Join this workshop to get hands-on guidance using Delta Live Tables to build your next simple, scalable and production-ready pipeline. We'll demonstrate the built-in orchestration framework capabilities that allow you to build production-quality data pipelines in half the time with no janitor code. Duration: 1.5 hrs.",https://events.databricks.com/FY26-EV-AEB-Hands-on-Workshop-DeltaLiveTables,Virtual,Data Engineering
Unified Governance with Unity Catalog,03/20/2026,02:00 PM,03/20/2026,03:30 PM,False,Using Unity Catalog you'll learn how it can work with your existing data catalogs and storage solutions to build a future-proof governance model. We will demonstrate the changes that come with UC and how you can upgrade your tables to include these benefits. Duration: 1.5 hrs.,https://events.databricks.com/FY26-EV-AEB-Hands-on-Workshop-UnifiedGovernancewithUC,Virtual,Governance
End-to-End AI on Databricks,03/24/2026,02:00 PM,03/24/2026,03:30 PM,False,"Walk through an end-to-end AI agent solution on Databricks. Build AI Agents with foundation LLMs, RAG, Vector Search, and PDF extraction using Unity Catalog functions, LangChain, and Databricks' built-in ai_parse_document function. Deploy real-time Q&A chatbots, evaluate agents with Mosaic AI Agent Evaluation and MLflow 3.0, and monitor live production behavior. Presenters: Rupal Gupta (Sr. Solutions Engineer) and Bhagyarshri Badgujar (Solutions Architect). Duration: 1.5 hrs.",https://events.databricks.com/FY26-EV-AEB-Hands-on-Workshop-End-to-EndAI,Virtual,Machine Learning
Intro to Databricks,03/25/2026,02:00 PM,03/25/2026,03:30 PM,False,Intro to Databricks is designed for users who are completely new to the platform or have only minimal experience. This workshop will give you an introductory tour of the platform and show you how it can simplify and accelerate your data projects. Duration: 1.5 hrs.,https://events.databricks.com/FY26-EV-AEB-Hands-on-Workshop-IntrotoLakehouseandDelta,Virtual,Getting Started
Seattle AI Day,03/26/2026,09:00 AM,03/26/2026,05:00 PM,False,"Pacific Northwest practitioners join us for AI innovation workshops and networking.",https://events.databricks.com/FY27-AI-Days-Seattle/register,In-Person,AI Day
"Lakebase: Serverless Postgres Database",03/27/2026,02:00 PM,03/27/2026,03:30 PM,False,"Lakebase is a fully managed, serverless, scalable, and resilient Postgres database that offers low-latency reads and writes, unlocking operational and transactional use cases for Databricks customers. Duration: 1.5 hrs.",https://events.databricks.com/FY26-EV-AEB-Hands-onWorkshop-DeltainProduction,Virtual,Databases
Databricks Apps,03/30/2026,02:00 PM,03/30/2026,03:30 PM,False,"This workshop will guide participants through the core concepts of Databricks Apps, hands-on development with familiar frameworks, and best practices for deploying governed, production-ready applications—so your apps can run where your data and AI already live. Duration: 1.5 hrs.",https://events.databricks.com/FY26-EV-AEB-Hands-on-Workshop-DatabricksApps,Virtual,Development
Databricks SQL and Serverless,03/31/2026,02:00 PM,03/31/2026,03:30 PM,False,Join this workshop to get hands-on guidance for semi-structured data delivery at scale for downstream analytical consumption via Databricks SQL. We will demonstrate how to architect JSON pipelines and then show you how to explore and visualize semi-structured data with Databricks SQL. Duration: 1.5 hrs.,https://events.databricks.com/FY26-EV-AEB-Hands-on-Workshop-SQLandDelta,Virtual,SQL & Analytics
Chicago AI Day,04/01/2026,09:00 AM,04/01/2026,05:00 PM,False,"Full-day hands-on AI workshop for practitioners in Chicago. Learn to build, deploy and scale AI applications on Databricks.",https://events.databricks.com/FY27-AI-Days-Chicago,In-Person,AI Day
Production-Ready Agents on Databricks,04/01/2026,02:00 PM,04/01/2026,04:00 PM,False,"In this workshop, we will explore how your organization can leverage the Mosaic AI Agent Framework and Platform to bring high-quality and scalable Gen AI applications into production. We will cover Generative AI offerings on Databricks with a focus on putting systems into production. Duration: 2 hrs.",https://events.databricks.com/FY26-EV-AEB-Hands-on-Workshop-GenerativeAI,Virtual,Generative AI
